Graphlet,Enrichment,Z,p_value
"((6, 7), (6, 7), (7, 7))",50.310377774170355,36.123633102201794,9.654255619629523e-286
"((6, 6), (6, 7), (6, 7))",40.8082334552972,74.25798839590477,0.0
"((2, 5), (3, 7), (4, 7))",36.10235442127965,29.210466208959293,1.4279749397662222e-187
"((4, 5), (4, 6), (5, 6))",30.13761760385084,18.386124788098982,1.6968360765438803e-75
"((7, 7), (7, 7), (7, 7))",28.88188353702372,5.188112114985738,2.1243669943879311e-07
"((6, 6), (6, 6), (6, 6))",28.72381224323235,130.45492131159259,0.0
"((2, 7), (3, 4), (5, 7))",26.956424634555475,13.227042405491629,6.12505209872431e-40
"((1, 2), (1, 7), (3, 7))",26.6602001880219,21.084562293460976,1.1022859608829003e-98
"((4, 7), (5, 6), (6, 7))",26.589670557894856,37.79394383413961,0.0
"((1, 6), (1, 7), (6, 7))",26.423850895574894,32.43228185311218,9.629288069336124e-231
"((4, 4), (5, 7), (5, 7))",26.256257760930655,11.021420942789666,3.0126535588809635e-28
"((1, 4), (1, 7), (5, 7))",26.256257760930655,11.021420942789666,3.0126535588809635e-28
"((2, 7), (3, 7), (7, 7))",26.25625776093065,19.089661044515374,3.0775977867608766e-81
"((1, 7), (1, 7), (7, 7))",25.672785366243307,13.77294075191239,3.708062114811946e-43
"((2, 6), (3, 7), (6, 7))",25.545692369380717,56.217152900726674,0.0
"((2, 5), (3, 4), (4, 5))",24.755900174591762,8.26975717636307,1.3423212385774718e-16
"((4, 6), (5, 6), (6, 6))",24.672965835648405,43.93913019398088,0.0
"((4, 6), (5, 7), (6, 7))",24.0682362808531,14.869359373429232,5.210957824955376e-50
"((2, 7), (3, 6), (6, 7))",23.870831188328754,75.7702679802863,0.0
"((4, 6), (4, 6), (5, 5))",23.78508055990189,82.91889997137659,0.0
"((4, 7), (5, 7), (7, 7))",23.105506829618978,13.007316881022483,1.1117755250841038e-38
"((2, 4), (3, 7), (5, 7))",19.918540370361185,13.40475469834729,5.671047763005655e-41
"((2, 6), (3, 6), (6, 6))",19.151363539529658,232.93795014183817,0.0
"((2, 2), (3, 7), (3, 7))",18.973500133811203,39.145350553934534,0.0
"((1, 4), (1, 6), (5, 6))",17.7734667920146,21.05308652419974,2.1426232993360007e-98
"((4, 4), (5, 6), (5, 6))",16.75149245147376,20.724972138090852,2.062467959715107e-95
"((1, 6), (1, 6), (6, 6))",16.54540061919952,28.853646242162533,4.560334573248504e-183
"((2, 3), (2, 7), (3, 7))",16.503933449727842,43.513081464770785,0.0
"((2, 6), (3, 4), (5, 6))",16.464068876177773,29.27394105668945,2.226726060738949e-188
"((0, 4), (0, 7), (5, 7))",16.173854780733283,9.98247367755652,1.8187500388283862e-23
"((0, 7), (0, 7), (7, 7))",15.753754656558394,9.105129846760509,8.61633068621697e-20
"((1, 5), (1, 6), (4, 6))",15.54077014114751,90.12355329703216,0.0
"((2, 4), (3, 6), (5, 6))",14.958744461406708,41.15005891761305,0.0
"((2, 5), (3, 6), (4, 6))",14.761851585589902,29.753016146129482,1.5851433109835048e-194
